,Case,Document Type,Field,Legacy Extracted,Docling Extracted,Status
0,case1,plankart,#1,False,True,Mismatch
1,case1,plankart,AOR,True,False,Mismatch
2,case1,plankart,AVG1,True,True,Match
3,case1,plankart,AVG2,True,True,Match
4,case1,plankart,AVG3,True,True,Match
5,case1,plankart,AVG4,True,True,Match
6,case1,plankart,BAD,True,False,Mismatch
7,case1,plankart,BAT1,True,True,Match
8,case1,plankart,BAT2,True,True,Match
9,case1,plankart,DATOSIGN,True,False,Mismatch
10,case1,plankart,FRI1,True,True,Match
11,case1,plankart,FRI2,True,True,Match
12,case1,plankart,FRI3,True,True,Match
13,case1,plankart,FV,True,False,Mismatch
14,case1,plankart,GN1,True,True,Match
15,case1,plankart,GN2,True,True,Match
16,case1,plankart,GN3,True,True,Match
17,case1,plankart,GN4,True,True,Match
18,case1,plankart,H210,True,True,Match
19,case1,plankart,H740,True,True,Match
20,case1,plankart,PLANENERUTARBEIDETAV,True,False,Mismatch
21,case1,plankart,PLANKONSULENT,True,False,Mismatch
22,case1,plankart,R9,False,True,Mismatch
23,case1,plankart,SAKSBEHANDLINGETTERPLANOGBYGNINGSLOVEN,True,False,Mismatch
24,case1,plankart,STL,True,False,Mismatch
25,case1,plankart,TV1,True,True,Match
26,case1,plankart,TV2,True,True,Match
27,case1,plankart,TV3,True,True,Match
28,case1,plankart,TV4,True,True,Match
29,case1,plankart,V1,False,True,Mismatch
30,case1,plankart,V2,False,True,Mismatch
31,case1,plankart,VBAD,True,False,Mismatch
32,case1,bestemmelser,#1,True,False,Mismatch
33,case1,bestemmelser,AVG14,True,True,Match
34,case1,bestemmelser,BAD,True,False,Mismatch
35,case1,bestemmelser,BAT1,False,True,Mismatch
36,case1,bestemmelser,BAT12,True,True,Match
37,case1,bestemmelser,BAT2,False,True,Mismatch
38,case1,bestemmelser,FRI1,True,True,Match
39,case1,bestemmelser,FRI13,True,True,Match
40,case1,bestemmelser,FRI2,True,True,Match
41,case1,bestemmelser,FRI3,True,True,Match
42,case1,bestemmelser,FV,True,False,Mismatch
43,case1,bestemmelser,GN1,False,True,Mismatch
44,case1,bestemmelser,GN4,False,True,Mismatch
45,case1,bestemmelser,H140,True,True,Match
46,case1,bestemmelser,H220,True,True,Match
47,case1,bestemmelser,H320,True,True,Match
48,case1,bestemmelser,H740,True,True,Match
49,case1,bestemmelser,TV14,True,True,Match
50,case1,bestemmelser,TV2,True,True,Match
51,case1,bestemmelser,V1,True,True,Match
52,case1,bestemmelser,VBAD,True,False,Mismatch
53,case1,sosi,#1,False,True,Mismatch
54,case1,sosi,AVG1,True,True,Match
55,case1,sosi,AVG2,True,True,Match
56,case1,sosi,AVG3,True,True,Match
57,case1,sosi,AVG4,True,True,Match
58,case1,sosi,BAD,True,True,Match
59,case1,sosi,BAT1,True,True,Match
60,case1,sosi,BAT2,True,True,Match
61,case1,sosi,FRI1,True,True,Match
62,case1,sosi,FRI2,True,True,Match
63,case1,sosi,FRI3,True,True,Match
64,case1,sosi,FV,True,True,Match
65,case1,sosi,GN1,True,True,Match
66,case1,sosi,GN2,True,True,Match
67,case1,sosi,GN3,True,True,Match
68,case1,sosi,GN4,True,True,Match
69,case1,sosi,H210,True,True,Match
70,case1,sosi,H740,True,True,Match
71,case1,sosi,SKV3,True,True,Match
72,case1,sosi,TV1,True,True,Match
73,case1,sosi,TV2,True,True,Match
74,case1,sosi,TV3,True,True,Match
75,case1,sosi,TV4,True,True,Match
76,case1,sosi,V1,True,True,Match
77,case1,sosi,V2,True,True,Match
78,case1,sosi,VBAD,True,True,Match
