Formål;SOSI-kode;Benevnelseskode;Kortform;Fargekode - Hex;Fargekode - RGB;Fargekode - CMYK
1. Bebyggelse og anlegg;(1000);;;;;
Bebyggelse og anlegg;1001;BA;;FFCC00;;
Boligbebyggelse;1110;B;;FFFF33;;
Boligbebyggelse-frittliggende småhusbebyggelse;1111;BF;;FFFF99;;
Boligbebyggelse-konsentrert småhusbebyggelse;1112;BK;;FFFF33;;
Boligbebyggelse-blokkbebyggelse;1113;BB;;FFFF33;;
Garasjeanlegg for bolig-/fritidsbebyggelse;1119;BGF;;FFFF33;;
Fritidsbebyggelse;1120;FB;;FFCC66;;
Fritidsbebyggelse-frittliggende;1121;FBF;;FFE7AE;;
Fritidsbebyggelse-konsentrert;1122;FBK;;FFCC66;;
Fritidsbebyggelse-blokk;1123;FBB;;FFCC66;;
Kolonihage;1124;FBH;;FFCC66;;
Sentrumsformål;1130;SF;;CC9900;;
Kjøpesenter;1140;KS;;CC99CC;;
Forretninger;1150;FOR;;CCCCFF;;
Offentlig eller privat tjenesteyting;1160;T;;FF9999;;
Barnehage;1161;BH;;FF9999;;
Undervisning;1162;UN;;FF9999;;
Helse-/omsorgsinstitusjon;1168;REL;;FF9999;;
Kulturinstutisjon;1167;ADM;;CC6600;;
Forsamlingslokale for religionutøvelse;1164;KU;;FF9999;;
Administrasjon;1166;HOM;;FF9999;;
Annen offentlig eller privat tjenesteyting;1169;AT;;FF9999;;
Fritids- og turistformål;1170;FTU;;9999CC;;
Utleiehytter;1171;UTL;;9999CC;;
Fornøyelsespark eller temapark;1172;FPT;;9999CC;;
Campingplass;1173;C;;9999CC;;
Leirplass;1174;LP;;9999CC;;
Råstoffutvinning;1200;RU;;CC9999;;
Steinbrudd og masseuttak;1201;SM;;CC9999;;
Næringsbebyggelse;1300;NÆ;;9966FF;;
Kontor;1310;K;;CC99FF;;
Hotell/overnatting;1320;HO;;CC99FF;;
Bevertning;1330;BE;;CC99FF;;
Industri;1340;IND;;CC66FF;;
Lager;1350;LA;;CC66FF;;
Bensinstasjon/vegserviceanlegg;1360;BV;;CC66FF;;
Annen næring;1390;ANÆ;;9966FF;;
Idrettsanlegg;1400;IDR;;99CC00;;
Skianlegg;1410;ISA;;99CC00;;
Skiløypetrasé;1420;SKI;;99CC00;;
Idrettsstadion;1430;IS;;669900;;
Nærmiljøanlegg;1440;NMA;;99CC00;;
Golfbane;1450;GO;;CCFF33;;
Motorsportanlegg;1460;MOT;;669900;;
Skytebane;1470;SKB;;669900;;
Andre idrettsanlegg;1490;AI;;99CC00;;
Andre typer bebyggelse og anlegg;1500;ABA;;FF9933;;
Godsterminal;1501;GOT;;FF9933;;
Godslager;1502;GOL;;FF9933;;
Energianlegg;1510;EA;;FF9933;;
Fjernvarmeanlegg;1520;FVA;;FF9933;;
Vindkraftanlegg;1530;VKA;;FF9933;;
Vann- og avløpsanlegg;1540;VA;;FF9933;;
Vannforsyningsanlegg;1541;VF;;FF9933;;
Avløpsanlegg;1542;AV;;FF9933;;
Renovasjonsanlegg;1550;RA;;FF9933;;
Øvrige kommunaltekniske anlegg;1560;ØK;;FF9933;;
Telekommunikasjonsanlegg;1570;TK;;FF9933;;
Småbåtanlegg i sjø og vassdrag;1587;SMB;;FF9933;;
Småbåtanlegg i sjø og vassdrag med tilhørende strandsone;1588;SMS;;FF9933;;
Uthus/naust/badehus;1589;UNB;;FF9933;;
Annen særskilt angitt bebyggelse og anlegg;1590;ASB;;FF9933;;
Uteoppholdsareal;1600;UTE;;66CC99;;
Lekeplass;1610;LEK;;66CC99;;
Gårdsplass;1620;GPL;;66CC99;;
Parsellhage;1630;HA;;66CC99;;
Annet uteoppholdsareal;1690;AUT;;66CC99;;
Grav- og urnelund;1700;GU;;CC6699;;
Krematorium;1710;KR;;CC6699;;
Nødvendige bygg og anlegg for grav- og urnelund;1730;BGU;;CC6699;;
Kombinert bebyggelse og anleggsformål;1800;KBA;;"FFCC00
FFFFFF";;
Bolig/forretning;1801;B/F;;"FFFF00
CCCCFF";;
Bolig/forretning/kontor;1802;B/F/K;;"FFFF00
CCCCFFCC99FF";;
Bolig/tjenesteyting;1803;B/T;;"FFFF00
FF9999";;
Bolig/kontor;1804;B/K;;"FFFF00
CC99FF";;
Forretning/kontor;1810;F/K;;"CCCCFF
CC99FF";;
Forretning/kontor/industri;1811;F/K/I;;"CCCCFF
CC66FF
CC99FF";;
Forretning/industri;1812;F/I;;"CCCCFF
CC66FF";;
Forretning/kontor/tjenesteyting;1813;F/K/T;;"CCCCFF
CC99FF
FF9999";;
Forretning/tjenesteyting;1814;F/T;;"CCCCFF
FF9999";;
Næring/tjenesteyting;1824;N/T;;"9966FF
FF9999";;
Kontor/lager;1825;K/L;;"CC99FF
9966FF";;
Industri/lager;1826;I/L;;"CC66FF
FFCC00";;
Kontor/industri;1830;K/I;;"CC99FF
CC66FF";;
Kontor/tjenesteyting;1831;K/T;;"CC99FF
FF9999";;
Angitt bebyggelse og anleggsformål kombinert med andre angitte hovedformål;1900;BAA;;"FFCC00
FFFF99";;
;;;;;;
2. Samferdselsanlegg og teknisk infrastruktur;(2000);;;;;
Samferdselsanlegg og teknisk infrastruktur (arealer);2001;ST;;999999;;
Veg;2010;V;;CCCCCC;;
Kjøreveg;2011;KV;;CCCCCC;;
Fortau;2012;FO;;FFCCCC;;
Torg;2013;TO;;FFCCCC;;
Gatetun;2014;GT;;F0DDDB;;
Gang-/sykkelveg;2015;GS;;FFCCCC;;
Gangveg/gangareal/gågate;2016;GG;;FFCCCC;;
Sykkelanlegg;2017;SA;;FFCCCC;;
Annen veggrunn - tekniske anlegg;2018;AVT;;999999;;
Annen veggrunn - grøntareal;2019;AVG;;999966;;
Bane (nærmere angitt baneformål);2020;BAN;;CC9966;;
Trasé for jernbane;2021;JB;;CC9966;;
Trasé for sporveg/forstadsbane;2022;SV;;CC9966;;
Trasé for taubane;2023;TB;;CC9966;;
Stasjons-/terminalbygg;2024;BST;;CC9966;;
Holdeplass/plattform;2025;HPP;;CC9966;;
Leskur/plattformtak;2026;LPL;;CC9966;;
Tekniske bygg/konstruksjoner;2027;SBK;;CC9966;;
Annen banegrunn - tekniske anlegg;2028;ABT;;CC9966;;
Annen banegrunn - grøntareal;2029;ABG;;999966;;
Lufthavn;2030;LHA;;999999;;
Lufthavn - landings-/taxebane;2031;LHL;;999999;;
Lufthavn - terminalbygg;2032;LT;;999999;;
Lufthavn - hangarer/administrasjonsbygg;2033;LHH;;999999;;
